Horodateur,Communities you identify with,How often do you use Refine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with Refine,If other please specify,How large are the data sets you often deal with when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using Google Refine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of Refine are you currently using?,For how long have you been using refine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify
06/10/2012 16:30:13,Government data enthusiasts,Everyday,Semantic web and Data Integration,"Scientific, Programming",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature","RDF (TTL, TRIG,...)","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",Longwell,1,5,Count me in!,"Development, Documentation (wiki, tutorials ...), User support (FAQ)",,,,Against the development version,,,,5,,"Development, from svn",More than 2 years,no,,yes,"Reconciliation Service
Exporting extensions",RDF extension,,and our own
06/10/2012 19:05:52,"Open data enthusiasts, Government data enthusiasts, Research Purpose, For Profit",Once or twice a week,,Other,e-governement,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"10,000s of rows",Other,RDF/TURTLE,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,"Load into database, Visualization, e.g., Fusion Table, Tableau, Other",Load into a triplestore (Jena TDB),2,4,Maybe,"Development, Documentation (wiki, tutorials ...)",,The main are its easy extendibility and the reconciliation protocol.,"Excel, but it would have been hard",Against the development version,A tool to clean and reconcile data,A version in a central server for better collaboration,,6,I have to say thanks to all the people that have made such a great tool!,02/05/2012,1 to 2 years,yes,"I have used Refine in a project on data integration. The data exported were exchanged between people in the project for different purpouse: cleaning, alignment, reconciliation, transformation into RDF.",yes,We have developed a couple of extension ,"RDF extension, Other",,Two extension developed for a project
06/10/2012 19:21:14,For Profit,A few times a month,,Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"10,000s of rows, 100,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database, ETL tools like Kettle, Pentaho, ...",,"Load into database, Visualization, e.g., Fusion Table, Tableau, Other",HANA,1,3,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",I am very interested in licensing for commercial use.,Overall ease of use and ability to interactively discovery and correct data issues,ETL and DBMS (SQL) tools,Executable version (I've downloaded Refine and use it as is),I describe it as a data scrubbing and data discovery tool.,"1. Sync with databases. I know why you don't, but I spend a lot of time manually moving data around.

2. Better documentation/videos on Jython or add PHP capabilities

3. Improved scalability (big data), especially graph data

4. Contributing Needlebase capabilities to Refine. This would really take this to another level entirely.",,3,You have done a wonderful job with this tool. Thank you for your contribution.,02/05/2012,1 to 2 years,yes,I occasionally share project files in order to demonstrate capabilities or highlight data integrity issues. ,,,No extension,,
06/10/2012 19:37:32,"Data journalists, Open data enthusiasts",A few times a month,,"Business, Survey, Other",Government data. ,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,"A few hundred rows, 1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,4,2,Maybe,"Documentation (wiki, tutorials ...)",,The reconciliation function is very important in order to match inconsistent datasets. ,Excel and google docs. ,Executable version (I've downloaded Refine and use it as is),,,,3,Thanks for doing this. ,02/05/2012,1 to 2 years,no,,no,,No extension,,
06/10/2012 22:28:10,"Open data enthusiasts, For Profit, Other",A few times a month,,Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Other",Data Cleansing and Clustering,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database",,3,2,Maybe,"Documentation (wiki, tutorials ...)",,"Ease of use, instant feedback, painless clustering.","awk, excel, etc.",Executable version (I've downloaded Refine and use it as is),Easy data manipulation tool.,"1. Could be scripted generally other than by python. Describe the API so it could be implemented in curl or tcl.
2. Could reconcile against my own database, or another refine project.
3. Had a syntax to refer to other than the current line (e.g. if current value == last line value, VALUE1, VALUE2).
4. Had a more intuitive undo format.",,7,,02/05/2012,6 to 12 months,no,,,,No extension,,
07/10/2012 02:59:22,"Data journalists, Open data enthusiasts, For Profit",A few times a month,,Other,Governmet data,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,Spreadsheet,,Load into database,,1,3,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,,,Executable version (I've downloaded Refine and use it as is),,,,3,,02/05/2012,1 to 2 years,no,,,,No extension,,
07/10/2012 03:42:28,"Government data enthusiasts, Research Purpose",A few times a month,,Scientific,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,2,Maybe,"Documentation (wiki, tutorials ...)",,Faceting to clean up dirty data by standardizing data. Speed. Offline acces I.e. private and secure ,Excel or FileMaker,Executable version (I've downloaded Refine and use it as is),Great tool for cleaning up messy data quickly. ,Allowed me to reconcile against my own data using fuzzy filed matching. ,,1,,02/05/2012,More than 2 years,no,,,,No extension,,
07/10/2012 10:30:15,"Research Purpose, For Profit",A few times a month,,Business,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database",,1,2,Not Interested,,,"Speed, ease of use ",Excel and then PHP/MySQL ,Executable version (I've downloaded Refine and use it as is),An idiot proof way to sift through data,Exported MySQL commands ,,4,,02/05/2012,Less than 6 months,no,,no,,No extension,,
07/10/2012 11:27:42,Open data enthusiasts,A few times a month,,Business,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet",,"Scripting, Load into database",,3,3,Not Interested,,,,,Executable version (I've downloaded Refine and use it as is),,,,6,,02/05/2012,More than 2 years,yes,Collective exploration of data for better understanding.,,,Python Client Library,,
07/10/2012 11:31:21,"Open data enthusiasts, Government data enthusiasts, Research Purpose",A few times a month,,Survey,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet",,"Scripting, Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,3,3,Not Interested,,,,,Executable version (I've downloaded Refine and use it as is),,,,4,,02/05/2012,More than 2 years,no,,,,RDF extension,,
07/10/2012 11:40:37,Research Purpose,First Time User,,Scientific,,"Data transformation (one format to another), Preparing data to load into some database, e.g., Freebase",,"1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,"JSON, XML, hierarchical in nature",,,Other,,"Spreadsheet, Visualization, e.g., Fusion Table, Tableau",,1,1,Maybe,Other,,,,Executable version (I've downloaded Refine and use it as is),,,,1,,02/05/2012,Less than 6 months,no,,,,No extension,,
07/10/2012 18:29:44,"Data journalists, Research Purpose",Once or twice a week,,"Business, Survey, Scientific",,"Data transformation (one format to another), Understanding data you don't own, Preparing data to load into some database, e.g., Freebase",,"1,000,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Export from a database, ETL tools like Kettle, Pentaho, ...",,Load into database,,1,2,Maybe,Development,,,,Executable version (I've downloaded Refine and use it as is),,"- Had user login and authentication
- Had exports to SQL databases (not just dumping insert statements)
- Had integrated APIs",,5,,02/05/2012,Less than 6 months,no,,no,,No extension,,
07/10/2012 19:19:48,"Research Purpose, For Profit",A few times a month,,"Business, Survey",,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata, Other",Geo data,"A few hundred rows, 1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Other",would like ability to import .shp files,,Other,fusion tables - only for shp file import,,,2,4,Maybe,,,,,Executable version (I've downloaded Refine and use it as is),,Imported shp files,,3,,02/05/2012,1 to 2 years,no,,,,,,
07/10/2012 21:02:38,"Research Purpose, Other",First Time User,I copied Florida 2012 Regular Session Senate and House Bills from flsenate.gov into an Excel document. I then imported it into Google Refine and used it to organize them and look through them for ideas for a bill I was supposed to write for my government class.,Other,\Florida 2012 Regular Session Senate and House Bills,"Understanding data you don't own, Other",Organizational,"1,000s of rows",Other,Haven't exported yet.,XLS/CSV/TSV/Tabular in nature,,,Spreadsheet,,Other,"See ""What formats of data you deal with when EXPORTING your data from Refine""",2,4,Not Interested,,,I just saw it and liked it.,I don't know.,Executable version (I've downloaded Refine and use it as is),Just a simple-yet-powerful organizational tool.,Was even MORE powerful (and gave more examples of GREL functions)!,,3,,02/05/2012,Less than 6 months,no,,no,,No extension,,
07/10/2012 22:25:44,Other,Once or twice a week,University library,Other,"Bibliometric data from various sources, and to extract info from simple API","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Spreadsheet, Load into database",,3,2,Maybe,"Documentation (wiki, tutorials ...), Other","Would count myself as a basic user, so couldn't really offer anything much....",Familiar concepts - and allows tasks that would normally expect some level of programming skills,Excel or access typically ,Executable version (I've downloaded Refine and use it as is),A great tool to manage messy and inconsistent data,became more mainstream,,2,"Would love to see more recipes for common tasks, and a place to look up various approaches to managing data, such as parsing HTML and other formats. ",02/05/2012,More than 2 years,no,,,,No extension,,
07/10/2012 23:52:42,Research Purpose,Once or twice a week,,"Programming, Other","""Unclassifiable"" domains are what's powerful about Refine. ","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,A few hundred rows,XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,Spreadsheet,Considering using R.,3,2,Maybe,"Documentation (wiki, tutorials ...)",,"Refine has a nice balance between ""hand-on"" (clean up, edit, mess with, try different things) and ""arms length"" (have an overview, look at counts, distributions, etc.)

It's like a jacknife -- handy for a lot of different things, so the investment in learning how to do things (even when they seem strange at first) turns out to be worth it.",Excel... :-(,Executable version (I've downloaded Refine and use it as is),Refine is the ideal tool to find problems and possibilities in your dataset.,"Could pass data directly to Google Spreadsheets or Google Tables. 

Had more tutorials on the logic of the underlying GREL language.",,3,,02/05/2012,1 to 2 years,no,I would like to. Hasn't come up yet.,,,No extension,,I tried to load the RDF extension and couldn't get it to work.
08/10/2012 00:54:28,"Research Purpose, Cultural Heritage Data Enthusiast",Once or twice a week,,Scientific,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"1,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,3,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,"Powerful yet simple tool. Extensible, scriptable, efficient",Scripting,Executable version (I've downloaded Refine and use it as is),"A tools for understanding, normalizing and extending data ",..could become the easiest tool available for the creation of linked data,,3,,02/05/2012,6 to 12 months,no,,,,RDF extension,,
08/10/2012 01:21:22,"Data journalists, Open data enthusiasts, Government data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast",Everyday,,"Scientific, Other","Library catalogue material and 
Museum (biological sciences) material","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Spreadsheet, Load into database",,2,4,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,Faceted browsing and clustering/editing,Probably Excel but what's relatively quick and painless with Refine would have been so painful with Excel as to probably not be worth doing,Executable version (I've downloaded Refine and use it as is),"It's a handy tool for cleaning large datasets
It's also handy for getting a handle on large unfamiliar datasets, to get a clear idea of the structure and consistency","Made it easy to reconcile one project against another 
(I have a suspicion that what I'm wanting to do is actually possible with the cross command but I've not had time to investigate it fully)",,3,I've been working up to helping with documentation and tutorials but as I'm not particularly confident I was waiting until I was happy with the quality of what I write before drawing attention to it ( keithmaguire.net is where I've been practicing but I'm not particularly happy with what I've done so far). As the change to Open Refine probably calls for more people to step up I'd be happy to help out once the choice has been made as to where the code and documentation should be hosted. My background is library and museum based so any assistance I can offer would be in regards to explanatory material rather than technical contributions,02/05/2012,More than 2 years,no,,,,No extension,,
08/10/2012 09:38:41,"For Profit, Other",A few times a month,,Programming,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Scripting, Load into database",,3,1,,,,,,Executable version (I've downloaded Refine and use it as is),,,,6,,02/05/2012,Less than 6 months,no,,,,No extension,,
08/10/2012 11:49:18,Research Purpose,A few times a month,,"Business, Survey, Scientific, Programming",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"1,000s of rows, 10,000s of rows, 100,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Scripting, Export from a database",,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau, Other",gephi,3,3,Maybe,Development,,easy and fast data cleaning,scripting,Executable version (I've downloaded Refine and use it as is),easy and fast data cleaning,Improve reconciliation features between various refine projects. I'd add in the GUI the possibility of watching potentially reconciling matches before performing the operation. Similar to the clustering feature.,,6,,02/05/2012,Less than 6 months,no,,no,,No extension,,
08/10/2012 13:08:28,"Open data enthusiasts, For Profit",A few times a month,,"Business, Survey",,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database",,3,3,Maybe,"Development, Documentation (wiki, tutorials ...), User support (FAQ)","For development, it depends in which language: right now I'm focusing on Ruby.","It's free, it's powerfull.","Some scripting, for few things Reconcile can't do yet.",Executable version (I've downloaded Refine and use it as is),A tool to clean and normalize your data (the thing I use Reconcile for).,"Would allow clustering not on the would dataset, but grouping on some column. For example I would like to group on COUNTRY and then cluster on TOWN within each COUNTRY group, so that I could fix misspelled town names. I don't want to cluster on the whole dataset because maybe there are similar town names in different countries, but of course they are not the same town, it's not a misspelling and shouldn't be fixed.",,7,,02/05/2012,1 to 2 years,no,,no,,No extension,,
09/10/2012 00:07:06,"Open data enthusiasts, For Profit",I've heard about but never used it (yet),,"Business, Programming",,Other,Just happened upon it so I can't really give an opinion,"10,000s of rows, 100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Export from a database, ETL tools like Kettle, Pentaho, ...",,,,3,1,Count me in!,"Development, Documentation (wiki, tutorials ...)",,,,Against the development version,,,,6,,,More than 2 years,no,,no,,No extension,,
09/10/2012 18:50:20,"Open data enthusiasts, Government data enthusiasts, Cultural Heritage Data Enthusiast",A few times a month,,Other,Cultural heritage (metadata for records/items in an archive) and government data.,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,Export from a database,,"Scripting, Load into database",,3,3,Not Interested,,,Easy and flexible normalization and transformation. Good ability to observe data at a glance.,,Executable version (I've downloaded Refine and use it as is),"A data refinement tool, especially for tabular data.",...more easily export and import to XML?,,3,,02/05/2012,6 to 12 months,no,,,,No extension,,
09/10/2012 21:13:40,Research Purpose,A few times a month,,Programming,,"Data transformation (one format to another), Reconciliation against other data set",,A few hundred rows,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,Spreadsheet,,"Visualization, e.g., Fusion Table, Tableau",,3,4,Not Interested,,,"Data reconciliation, Data cleaning",Scripting,Executable version (I've downloaded Refine and use it as is),"Data cleanup tool, allows reconciliation","provides better documentation about the scripting languages, with examples",,6,,02/05/2012,6 to 12 months,no,,no,,No extension,,
09/10/2012 21:53:31,"Open data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast, Other",A few times a month,Systems Librarian,Other,Library,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Load into database",,3,4,Maybe,Development,,Normalization and Reconciliation are godsends.,Excel,Executable version (I've downloaded Refine and use it as is),Excel on steroids,Supported more formats,,7,,02/05/2012,More than 2 years,no,,,,No extension,,
09/10/2012 21:56:50,"Open data enthusiasts, Government data enthusiasts",A few times a month,,Business,"Various open data sets, generally as a hobbiest. Some government datasets","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",,"1,000s of rows, 10,000s of rows","XLS/CSV/TSV/Tabular in nature, Other",RDF (Turtle),XLS/CSV/TSV/Tabular in nature,,,Scripting,,Load into database,,3,4,Maybe,"Development, Documentation (wiki, tutorials ...)",,Powerful tool for some common tasks. Avoids need to write scripts,Scripting,Executable version (I've downloaded Refine and use it as is),As an army knife of data cleansing tools.,Had an easier way for non-developers to integrate third-party extensions. Currently needs a bit of tweaking to work,,6,,02/01/2012,More than 2 years,no,,yes,I've written extensions to support direct upload of data,RDF extension,,
09/10/2012 23:57:10,Data journalists,Once or twice a week,,"Business, Other",,"Normalizing data (e.g., fixing spelling mistakes)",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database",,1,3,Count me in!,"Documentation (wiki, tutorials ...), User support (FAQ)",,Great tool for normalizing names in messy data ,"Without it I would try to use python's fuzzy wuzzy tool, but haven't done much programming yet.",Executable version (I've downloaded Refine and use it as is),super simple tool for cleaning your data,didn't go away!,,2,,02/05/2012,1 to 2 years,no,,,,No extension,,
10/10/2012 00:28:53,"Open data enthusiasts, Government data enthusiasts, Research Purpose, Cultural Heritage Data Enthusiast",A few times a month,,Other,cultural heritage metadata,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"100,000s of rows, 1,000,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,,"Scripting, Spreadsheet, Export from a database",,"Scripting, Spreadsheet, Load into database, Visualization, e.g., Fusion Table, Tableau",,2,4,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,"ease of use, intuitive interface","scripting, manual labor",Executable version (I've downloaded Refine and use it as is),a metadata sawzall,continued to be developed and supported.,,4,,02/05/2012,More than 2 years,no,,,,"RDF extension, Open Reconcile, LOD2, Python Client Library",,
10/10/2012 09:35:18,"Open data enthusiasts, Cultural Heritage Data Enthusiast, Other",A few times a month,"Information Professionals (Librarians, Archivists, Curators)",Other,"Descriptive metadata, especially bibliographic metadata used by libraries to describe the items in their collections","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata",,"A few hundred rows, 1,000s of rows, 10,000s of rows",XLS/CSV/TSV/Tabular in nature,,"XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature, Specialized formats, e.g., MARC, Other","Fetching additional data via http, based on data already imported to Refine",,Scripting,,"Scripting, Spreadsheet",,3,3,Maybe,"Documentation (wiki, tutorials ...), User support (FAQ)",,"Powerful manipulation of data, repeatable functions, faceting really helps understand data set","Excel, scripting, scraperwiki (and sometimes use these with Refine as wel)",Executable version (I've downloaded Refine and use it as is),Better than Excel for what you are doing :),Made the 'reconcilliation' step a bit more understandable! Had a 'publish data' function. Supported export of multi-valued cells into JSON arrays. Was used more widely. Made it easier to share steps ('publish these steps'). Had a ready to go server/collaboration version,,4,,02/05/2012,More than 2 years,no,,,,RDF extension,,
10/10/2012 10:15:12,Cultural Heritage Data Enthusiast,A few times a month,,Other,"Cultural heritage data, Library data","Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set",,"A few hundred rows, 1,000s of rows, 10,000s of rows, 100,000s of rows",Other,RDF,XLS/CSV/TSV/Tabular in nature,,,,,,Load into triplestore,2,3,Maybe,,,"Simplisity, free, plugins, easy to wash data.","Delving, maybe.",Executable version (I've downloaded Refine and use it as is),,,,2,,02/05/2012,1 to 2 years,no,,no,,RDF extension,,
10/10/2012 12:22:22,Cultural Heritage Data Enthusiast,A few times a month,,Other,Cultural heritage and humanities data,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Reconciliation against other data set, Taxonomy/Metadata",,"100,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,"Scripting, Load into database, Visualization, e.g., Fusion Table, Tableau",,3,3,,,,It's powerful,,Executable version (I've downloaded Refine and use it as is),,,,6,,02/01/2012,1 to 2 years,no,,,,,,
10/10/2012 14:00:54,Other,First Time User,Sifting through company database,Business,,"Normalizing data (e.g., fixing spelling mistakes)",,"1,000s of rows",XLS/CSV/TSV/Tabular in nature,,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Export from a database",,Load into database,,,1,Maybe,,,Fine toothed cleaning and easy to use,Would have done it manually,Executable version (I've downloaded Refine and use it as is),It's like Excel's filter but with more depth. ,It'd be awesome if Refine were more known - I've wasted a lot of time manually sorting through my data because Excel just wasn't deep enough,,1,,2,Less than 6 months,no,,,,No extension,,
10/10/2012 16:26:52,"Open data enthusiasts, Government data enthusiasts, For Profit",A few times a month,,"Business, Survey, Scientific",,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into some database, e.g., Freebase, Taxonomy/Metadata",,"10,000s of rows","XLS/CSV/TSV/Tabular in nature, JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Spreadsheet, Other",Google Docs Spreadsheet,"Visualization, e.g., Fusion Table, Tableau","ESRI ArcGIS Desktop products, AutoCAD",2,4,Maybe,"Documentation (wiki, tutorials ...)",,"The Facet feature & the ability to edit quickly via the Facet/Filter box. 
The history which allows the reuse of code.","Excel? Possibly PostgreSQL,",Executable version (I've downloaded Refine and use it as is),A tool that I use to quickly clean and normalize large data sets.,"...were more widely known so that all the smart people out there would write more blogs and documentation that would help me to realize more of the potential of the software.

or

...paid me to use it.",,3,,02/05/2012,1 to 2 years,no,,no,,No extension,,
10/10/2012 17:21:08,"Data journalists, Open data enthusiasts, For Profit",Once or twice a week,,"Business, Other","mostly the swiss phone book, but anything which can be seen as even remotely connected to the phone book gets the refine treatment.","Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Other","I use refine a lot to talk to some of our internal Restful backend servers to connect data together without having to connect to DBs or write scripts.

Most my throw-away data wrangling is done in Refine.","10,000s of rows, 100,000s of rows","JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,"Scripting, Export from a database",,"Load into database, Visualization, e.g., Fusion Table, Tableau",,2,4,Not Interested,,,"ability to create a column by fetching a URL, parsing JSON.",throw-away ruby scripts I would lose and end up having to rewrite.,Executable version (I've downloaded Refine and use it as is),"I don't describe, I solve seemingly impossible problems and point them to the intro videos when they ask how I did it.",... stayed maintained for the long run.,,7,"thanks a bunch for the efforts, I didn't know the project was going through tough times.",02/05/2012,1 to 2 years,no,,no,,No extension,,
10/10/2012 17:22:49,Open data enthusiasts,First Time User,,Other,examples,"Normalizing data (e.g., fixing spelling mistakes)",,"A few hundred rows, 1,000s of rows","JSON, XML, hierarchical in nature",,XLS/CSV/TSV/Tabular in nature,,,Scripting,,"Scripting, Load into database",,3,4,Maybe,"Development, Documentation (wiki, tutorials ...)",,,,Executable version (I've downloaded Refine and use it as is),,json like datamodel,,6,,02/05/2012,Less than 6 months,no,,no,,No extension,,
