Horodateur,Communities you identify with,How often do you use OpenRefine,If other please specify,What domain of data do you deal with?,If other please specify,High-level tasks you do with OpenRefine,If other please specify,What is the average size of your dataset when creating your project,What formats of data you deal with when EXPORTING your data from Refine,If other please specify,What formats of data you deal with when IMPORTING data into Refine,If other please specify,If other please specify,What other tools you use on the data BEFORE you use Refine,If other please specify,What other tools you use on the data AFTER you use Refine,If other please specify,How will you rate the skills level needed to use Google Refine,How will you rate your skills using OpenRefine,Will you be interested in helping grow the Refine community?,How can you help,If other please specify,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,Do you use the executable version of Refine or do you build and run against the development version ?,How do you describe Refine to someone else?,"Fill in the blank: ""It'd be awesome if Refine ...""","If yes, can you describe how you use Refine as collaboration tool",How are your programming (coding) skills?,Anything else to add?,Which version of OpenRefine are you currently using?,For how long have you been using OpenRefine,Do you ever collaborate with other people on the same Refine project?,"If yes, can you describe how you use Refine as collaboration tool","If you you build and run against the development version, did you include custom code ? ","If yes, what kind of custom code?",Do you use extension along Google Refine?,"If yes, what kind of custom code?",If other please specify,Which channel do you use when you need support?,How would you rate the quality of support from those channel [OpenRefine mailing list],"How would you rate the quality of support from those channel [Other online community (stackoverflow, discussion board ....)]",How would you rate the quality of support from those channel [I ask someone I know (friends or coworker)],How would you rate the quality of support from those channel [I attend formal training],How would you rate the quality of support from those channel [I learn by myself],How responsive each channel is when you seek support [OpenRefine mailing list],"How responsive each channel is when you seek support [Other online community (stackoverflow, discussion board ....)]",How responsive each channel is when you seek support [I ask someone I know (friends or coworker)],How responsive each channel is when you seek support [I attend formal training],How responsive each channel is when you seek support [I learn by myself],Do you use plugin or extension?,Which version of OpenRefine do you run?,What is your experience with bug fix and feature request [bug fix (ie OpenRefine is broken)],What is your experience with bug fix and feature request [feature request (ie add a new functionality / behaviour)],Can you provide more when you reported something or asked for support and things didn't move as whished?,Would you be interested in an hosted/cloud version of OpenRefine,Why?
19/07/2014 11:20:21,Data journalists,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,"Facets, speed of getting the data in and out (like the click on the facets number of choice to export in a charting software), ease of using APIs to import data... In general : speed. OR lets you do in seconds what would take minutes in LibreOffice or code.",LibreOffice and code (most probably Python + Mysql),,Excel on steroids.,,,,The biggest problem with OR is the install process: You never know if it's going to work on someone else's machine (and telling them that their JVM needs updating isn't really user friendly). I had lots of complaints when I used OR in a datajournalism Mooc.,,More than 2 years,,,,,,,,,Not using this channel,Answer the question and went beyond expectation,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,I found a solution before my request been answered,Not using this channel,Immediate answer,Stats extension updated by sparkica for Refine 2.5 +,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"Never had the need for this, OR is easy to install on any machine."
19/07/2014 11:36:01,Open Data / Government enthusiasts,Less than once a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,2,,,,,,,,,,,The problem with OpenRefine is I only use it once in a while but really like it - I spend more time telling people to use it than using it myself!,,More than 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,No response to my question,Not using this channel,Not using this channel,Immediate answer,RDF extension - by DERI,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
19/07/2014 14:11:47,Open Data / Government enthusiasts,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,"* Doesn't (incorrectly) alter data like Excel does (e.g. dates)
* Good UTF8 support
* User is in control
* Full history of all actions
* Export in multiple open standards
* Open source
* Can handle big files reasonably well",Microsoft Excel,,"A better way to discover, clean and pimp your data.",,,,"It is confusing that the stable version of Open Refine is still called Google Refine, especially when giving courses. A new version with the same functionality as the Google Refine version but with new branding would help this.",,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,BioVeL extension,Google Refine 2.0,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,I would like to collaborate with others on the same dataset.
19/07/2014 15:42:55,Research Purpose,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",,,,,,,,,,,,,3,,,,"Data transformation
Correcting spelling mistakes
Support of regular expression",,,,,,,,,6 to 12 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,Immediate answer,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,,yes,"Many of my friends are not technical, and many of them don't know about github. A cloud version will solve some of the problems and raise awareness of this helpful tool"
19/07/2014 16:02:52,Librarians,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,,,,,,,,,,6 to 12 months,,,,,,,,,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
19/07/2014 16:24:05,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,1,,,,It's the only tool that can handle big sets for cleaning. I would like to use plugins but don't know how. ,Excel,,Data profiling and cleaning,,,,It would be great to learn more about this tool but the book and tutorials only get you so far. Help us novices. ,,1 to 2 years,,,,,,,,,I didn't get my answer / the answer was not helpful,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,No response to my question,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,Google Refine 2.1,I reported something and nothing happen,I reported something and nothing happen,Open refine will only work if the folder is in my downloads folder. If I move it then it won't work. The response I got was not to ask the question. So I no longer ask questions on the list. ,yes,"Since there's no help currently, maybe this will provide more help for us novices. "
19/07/2014 17:03:09,Open Data / Government enthusiasts,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), scrapping, geocoding",,,,,,,,,,,,,3,,,,"It's widespread, lots of tutorial","Calc, mysql",,A tool to intereactively fix messed up data,,,,"Please, go on with the development of this marvellous tool. 

List of new features:

- javasscript support
- an easy way to create, save retrieve and share our own functions",,6 to 12 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,Not using this channel,Not using this channel,I found a solution before my request been answered,,OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,"I haven't reported any issue or feature request, but sometimes I feel like the proyect is frozen. I don't know when a new version will be released or what new feature it will support. One feature I would really like openrefine to have is full JavaScript (not grel) support, grel is sometimes limiting, and I have to turn to jpython.",no,"I rather not depend on third parties, I like the fact that openRefine is free software and that it's so easy to run it on your own machine."
19/07/2014 17:42:47,Semantic Web,Once or twice a week,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,3,,,,"1) Nothing quite like it in the Open Source world that I could find.

2) DERI's Apache Stanbol integration.",,,A tool for reconciling denormalized data.,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,I build against the development version,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,"OpenRefine is not pleasant to build plugins into, its software architecture is opaque and undocumented, and I have no idea how to extend it. It's a nice tool in operation, but it's very confusing to look at the insides, and I have other software I would rather work on. I would rather not have to do anything with Refine except use it as an end-user."
19/07/2014 19:38:37,Data journalists,A few times a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,1,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
20/07/2014 04:03:28,Data journalists,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,Learned about it in journalism school. It's done what I need since then.,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I found a solution before my request been answered,I don't use plugin or extension,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,yes,It would be useful to be able to parse data without having to install the program.
20/07/2014 09:24:49,Librarians,Everyday,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,2,,,,"Data ingest process, particularly for XML files",R or Google Spreadsheets,,"To someone who doesn't do this sort of thing, a way to clean up a shitty spreadsheet",,,,XML ingest could be a bit more robust for HTML files.,,Less than 6 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I found a solution before my request been answered,Not using this channel,Not using this channel,I found a solution before my request been answered,"DBpedia extension - by Zemanta, RDF extension - by DERI",OpenRefine 2.6,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,Need to keep data locally secure
20/07/2014 12:57:42,Librarians,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,2,,,,,Excel,,,,,,,,Less than 6 months,,,,,,,,,Not using this channel,I got an answer and it is working,Answer the question and went beyond expectation,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I found a solution before my request been answered,I have to wait to get my answer,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I reported something, it is fixed but not how I expected",,,yes,"-other means of storage, potential for sharing"
20/07/2014 17:33:08,Data Visualizer,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,It often fits perfectly into my workflow. Handles large datasets. Many many useful features.,"R Studio, Google Docs, JavaScript, Java",,"Everything you need before you visualize your data. 1st Exploration, Refining datasets, finding mistakes. ",,,,,,More than 2 years,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Immediate answer,Not using this channel,I found a solution before my request been answered,DBpedia extension - by Zemanta,Google Refine 2.5,I would like to report something but I don't know how,I would like to report something but I don't know how,,no,
20/07/2014 17:55:23,Cultural Heritage Data Enthusiast,Once or twice a week,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,Some translation ,freeformater,,"Clean, enrichied, link your data ",,,,,,1 to 2 years,,,,,,,,,Not using this channel,I didn't get my answer / the answer was not helpful,The answer was a lead and I needed to explore based on it,I got an answer and it is working,I got an answer and it is working,Not using this channel,I found a solution before my request been answered,,I have to wait to get my answer,I have to wait to get my answer,"DBpedia extension - by Zemanta, History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",Google Refine 2.5,I would like to report something but I don't know how,"I reported something, it is fixed but not how I expected",,yes,to work collaboratively
20/07/2014 18:36:48,Research Purpose,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,,no,Most of my data is relatively private (e.g. system logs)
20/07/2014 19:29:44,Open Data / Government enthusiasts,Once or twice a week,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,Speed of use.,Programming,,The best tool in a data researcher's toolbox.,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,OpenRefine 2.6,,,,no,Often it is very private data.
20/07/2014 20:04:46,Librarians,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Immediate answer,RDF extension - by DERI,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,,
20/07/2014 20:13:14,Data journalists,Less than once a month,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,I've heard about but never used it (yet),,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I don't use plugin or extension,I don't know,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,,
20/07/2014 21:41:19,Research Purpose,A few times a month,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,2,,,,Transpose columns into cells.,Don't know,,Never did.,,,,,,1 to 2 years,,,,,,,,,The answer was a lead and I needed to explore based on it,Not using this channel,I got an answer and it is working,Not using this channel,The answer was a lead and I needed to explore based on it,I found a solution before my request been answered,Not using this channel,I have to wait to get my answer,Not using this channel,I found a solution before my request been answered,,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
20/07/2014 22:21:22,For Profit / Business,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,,,,,,,,,,Less than a month,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,,OpenRefine 2.6,,,,,
20/07/2014 23:43:08,Semantic Web,Less than once a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Taxonomy/Metadata",,,,,,,,,,,,,4,,,,A lot of the time I can achieve desired results in Refine without writing code.,one-off Perl/Python scripts,,"Looks like Excel, doesn't act like it.",,,,"* If I hit the back button while I'm working (2.5), I lose all my facets.

* The single biggest drawback to Refine is that it is molasses-slow. Rather than render megabytes of HTML tables in a browser, I submit that there would be a considerable performance gain to implementing it as a standalone desktop app. Even if it was just a front-end that connected over a REST interface or something.

* While we're on the topic of architecture-overhauling changes, I posit that rather than maintain the paradigm of keeping the data in a grid, if one could construct an explicit nested tree-like structure overtop of the data, and then provide some sort of fitting operation.",,More than 2 years,,,,,,,,,,,Not using this channel,Not using this channel,,,,,,,I don't use plugin or extension,Google Refine 2.5,,,,no,"Absolutely not. If anything I'd go in the other direction and turn it into a native desktop app. Some data simply does not belong in the ""cloud""."
21/07/2014 01:00:27,Research Purpose,Less than once a month,,,,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,3,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,I don't see a reason for running this somewhere other than my own machine
21/07/2014 09:46:18,Semantic Web,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set",,,,,,,,,,,,,4,,,,It provides great functionality to clean big amounts of data,,,,,,,,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Immediate answer,Not using this channel,Immediate answer,RDF extension - by DERI,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,We are running our instance of OpenRefine
21/07/2014 11:49:46,Librarians,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,Very rich an multiplatform,,,Powerful management of structured data,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,Loading of bigger datasets than my machine can handle
21/07/2014 12:06:12,Research Purpose,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,5,,,,,,,,,,,,,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,I don't use plugin or extension,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
21/07/2014 12:14:44,Open Data / Government enthusiasts,Once or twice a week,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,"Spreadsheet like UI
Browser interface
Useful range of import tools (though some could be improved; import settings saved as part of OpenRefine script etc).
Facet views v powerful
Useful reshaping tools (though better support for things like deduplication are required)
History/script useful
Ability to run as a service and access it via eg Python API wrapper useful","R (plyr, reshape, stringr)
Python (pandas)
DataWrangler",,Spreadsheet like took for getting your messy data into a state where you can actually start to work with it.,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,,Immediate answer,Not using this channel,Immediate answer,"DBpedia extension - by Zemanta, RDF extension - by DERI",OpenRefine 2.6,,,,yes,"For many people, installing software maybe problematic - being able to access software tools via a browser represents a useful solution.

Issues with online, third party hosting include:
- requirement for a network connection;
- overheads associated with uploading and downloading data files;
- privacy/sensitivity concerns (eg putting private or commercial data into a third party online space)"
21/07/2014 12:16:34,Open Data / Government enthusiasts,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,,,,,,,,,,6 to 12 months,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,I have to wait to get my answer,I have to wait to get my answer,Not using this channel,Immediate answer,RDF extension - by DERI,OpenRefine 2.6,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,
21/07/2014 15:10:34,Data journalists,Everyday,,,,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",,,,,,,,,,,,,4,,,,It's open source.,MySQL database or R-Studio or python,,OpenRefine is like a swiss army knife,,,,,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,Not using this channel,I have to wait to get my answer,Immediate answer,Not using this channel,Immediate answer,Stats extension updated by sparkica for Refine 2.5 +,OpenRefine 2.6,"I have nothing to report, I am happy how things are.",I would like to report something but I don't know how,the question is unclear to me,yes,"- to crunch bigger data sets
- collaborative hacking (e.g. GitHub)"
21/07/2014 15:14:33,Semantic Web,A few times a month,,,,Conversion of data from any format (XML/CSV mostly) to RDF.,,,,,,,,,,,,,3,,,,"Ease of usability, especially with loading data, visualizing it, performing cleaning or reconciliation. 
Especially the RDF extension is very useful to transform data to RDF.","For the cleaning, I would have to use Excel.
For the RDF extension, probably a hand-written converter which would be command line based.",,"Refine is a easy-to-use tool to perform basic functions on data such as cleaning, converting, reconciling. ",,,,I just was not able to find more documentation on GREL. There should be a handy help button in the form itself.,,1 to 2 years,,,,,,,,,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,I have to wait to get my answer,Not using this channel,Immediate answer,"DBpedia extension - by Zemanta, RDF extension - by DERI",I build against the development version,"I reported something, it is fixed but not how I expected",I would like to report something but I don't know how,,yes,
21/07/2014 15:32:24,Semantic Web,A few times a month,,,,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,4,,,,"RDF Export, it's still the easiest tool in that regard I've seen.",Stuff I can't do in Refine I usually code myself in a script but it's more work.,,A great tool to create Linked Data from tabular data :) I really mainly use it for that.,,,,"I think OpenRefine is still quite unique but you have to do some serious project/release management.

It's frustrating if there are small things not working and when you search for it you figure out that it is reported forever.

Same for the RDF exension btw, there is a new drop on the homepage but unlike the old one it's not a ZIP you can put to extensions so people like me with a short attention span get lost.",,More than 2 years,,,,,,,,,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Not using this channel,Not using this channel,Not using this channel,I have to wait to get my answer,RDF extension - by DERI,Google Refine 2.5,I reported something and nothing happen,"I have nothing to report, I am happy how things are.","There are quite some bugs filed which might be fixed in OpenRefine or not, it's a bit hard to judge as there is no formal OpenRefine release. Most of the bugs I have seems to be filed forever (by others) and I'm really not sure if they are fixed or not.

So some kind of releases would be a good idea, I think we all agree GoogleRefine is buggy. ",no,"I mainly use Refine to create RDF out of tabular data and those datasets are mostly not that big.

I don't do much of refinment in Refine itself as this is easier and more powerful with SPARQL once the stuff is available in RDF."
21/07/2014 15:43:32,Librarians,A few times a month,,,,"Data transformation (one format to another), Understanding data you don't own",,,,,,,,,,,,,1,,,,I don't know other tools,don't know,,tool for analyzing and transforming data,,,,,,Less than 6 months,,,,,,,,,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,Not using this channel,The answer was a lead and I needed to explore based on it,Not using this channel,I found a solution before my request been answered,Not using this channel,Not using this channel,,,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,
21/07/2014 16:34:29,Librarians,Less than once a month,,,,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....)",,,,,,,,,,,,,2,,,,My datasets were really large and I heard that OpenRefine was a powerful tool for making sense of large datasets and seeing what was in them.,I had been working in Excel on a Mac but the datasets were too big.,,"It is a tool that has a lot more power to do data analysis than I can make use of currently, but it was effective for the sorting and weeding work that I had to do on my large datasets.",,,,,,Less than 6 months,,,,,,,,,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Not using this channel,I got an answer and it is working,Not using this channel,Immediate answer,Not using this channel,Not using this channel,Immediate answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,no,"I deal with data that is tied to my institution so I think it is safest to keep it out of 3rd party cloud services. None of my data is sensitive, but still, I feel like I would need to ask permission before using a hosted/cloud version of OpenRefine so for me, that equates to too much hassle."
21/07/2014 16:41:51,Librarians,Once or twice a week,,,,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, freebase ....), Taxonomy/Metadata",,,,,,,,,,,,,3,,,,Does exactly what I need with a minimum of work.,Excel for most of what I do.,,Great tool for cleaning up messy data.,,,,I've taught a lot of people how to use OpenRefine but I don't necessarily think of myself of part of a formal community--just someone using the tool for my job and explaining ways of doing things to others.,,More than 2 years,,,,,,,,,Not using this channel,I got an answer and it is working,I got an answer and it is working,Not using this channel,Answer the question and went beyond expectation,Not using this channel,Immediate answer,I have to wait to get my answer,I have to wait to get my answer,I have to wait to get my answer,I don't use plugin or extension,Google Refine 2.5,"I have nothing to report, I am happy how things are.","I have nothing to report, I am happy how things are.",,yes,Would be helpful while traveling or trying to show things to other people.
