Timestamp,Communities you identify with,How often do you use OpenRefine,For how long have you been using OpenRefine,How would you rate your skills using OpenRefine,High-level tasks you do with OpenRefine,Which version of OpenRefine do you run?,Do you use plugin or extension?,"Which features available in an extension or plugin, do you want to see by default in OpenRefine?",Do you use a reconciliation service?,Which features make you choose Refine as opposed to another tools? ,What tool would you have used instead,How do you describe Refine to someone else?,"Fill in the blank: ""It would be awesome if OpenRefine ...""",Anything else to add?
1/27/2020 11:38:45,Librarian,A few times a month,1 to 2 years,3,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,,geocoding,"Wikidata, GND",,,Enrich your Data,,
1/27/2020 12:35:15,Wikidata contributor,Everyday,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,"DBpedia extension - by Zemanta, History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",Cross cells please,"reconcile csv, Wikidata, VIAF, Library of Congress Subject Headings, OpenCorporates, DBpedia, Ordnance Survey, ORCID","Facets, support for regex, iteration with Wikidata ","Excel, Google Sheets and/or Python",A bridge between a spreadsheet and programming,"It lived in a cloud, supported collaborative editing of datasets and it was possible to build automated Wikidata ingest pipelines",Please improve the error handling when uploading to Wikidata - even applying the flag facet to an item with failed edits would be incredibly helpful. Thanks for all your hard work to make OpenRefine amazing!
1/27/2020 12:39:48,Librarian,Less than once a month,More than 2 years,2,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,"VIVO, journalTOCs, Library of Congress Subject Headings","Certain features not available in Excel, ability to quickly handle larger datasets compared to Excel. ",Excel,"A faster, better Excel. ",stays around. I love it. ,
1/27/2020 12:42:45,Librarian,A few times a month,1 to 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,Library of Congress Subject Headings,It is the only one I knew of that did this.,,a spreadsheet cleaning tool to make all your data match so that the analysis is correct. ,"Have real Title Case transforms that left articles like A, An, And, The lowercased as well as prepositions instead of capitalizing each word.",
1/27/2020 13:24:53,Data journalist,Less than once a month,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,dont use a plugin but language based clustering would be nice,Nomisma,Are there other tools?,None,cleans up shitty data,has local based clustering,
1/27/2020 14:19:26,For Profit/Business/Consulting,A few times a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.1,I don't use plugin or extension,,,,,,,
1/27/2020 16:28:15,Wikidata contributor,A few times a month,More than 2 years,3,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,,,,,
1/27/2020 18:44:59,Librarian,Less than once a month,More than 2 years,2,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), collecting data using API",OpenRefine 2.7,I don't use plugin or extension,?,,Community of users around me. Carpentries support.,excel,Open source data cleaning tool,had a more intuitive interface,
1/27/2020 23:13:44,Non-Profit Organization member or volunteer,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS",,,Fast exploration of data,ruby/python/r/sheets,Data Wrangling tool,"Had a clear API based backend, upon which variant frontends could be built.","It would be nice if cell provenance could be accessible programmatically or via the interface. So for instance in terms of rewinding to a certain state, it would be nice to know at what step a cell/row/column last changed, or what the previous state of the cell/row/column was, or what the state was at a particular step."
1/28/2020 4:12:53,Wikidata contributor,A few times a month,1 to 2 years,4,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,"Reconciliation abilities, Wikidata direct upload",Excel + QuickStatements,Great software for data processing,,
1/28/2020 4:42:58,Archivist,Everyday,6 to 12 months,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,,Excel,"A power tool for cleaning, validating, and enhancing data",Could handle hierarchical data,"Clearer links to add-ons, extensions, and recon services, and explanations/examples of how they work would be great. I was unaware of many of the above."
1/28/2020 6:44:32,Data Scientist,Everyday,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.3RC1,,,"codeforkjeff conciliator, Wikidata",Everything,,Awesome,,
1/28/2020 9:57:34,Librarian,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,,,,,,
1/28/2020 12:05:50,Data journalist,A few times a month,1 to 2 years,4,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,,,,The clustering and mass edit functionality,,a great data cleaning tool,improved performance on large datasets,
1/28/2020 12:15:45,Librarian,Everyday,6 to 12 months,4,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,I don't use plugin or extension,,"Wikidata, VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings",,,,,
1/28/2020 12:35:36,Cultural Heritage Data enthusiast,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,I don't use plugin or extension,,"Wikidata, Library of Congress Subject Headings, I have tried to reconcile with the LCSH but it didn't work for me--would be great to see some documentation on this (or looking into any versioning issues)","-Protects data: it's harder to edit individual cells, nothing gets auto-re-formatted
-clustering allows me to get a quick snapshot of the data and batch edits things quickly
-connection to APIs/reconciling","Python, Excel, SQL","""Better Excel,"" ""Safer Excel""","1) fix the python/jython issue in version 3, 2) add the LoC authority files as a reconciliation service",
1/28/2020 12:37:38,Data journalist,Less than once a month,More than 2 years,1,"Normalizing data (e.g., fixing spelling mistakes)",I don't know,I don't use plugin or extension,,,,,,,
1/28/2020 12:47:56,Data journalist,Less than once a month,More than 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 2.8,I don't use plugin or extension,,,ease of standardizing values,,,,This survey is making me realize I haven't kept up with the improvements over the years (I didn't know there were extensions!) 
1/28/2020 13:07:28,Archivist,Less than once a month,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",,"reconcile csv, local SPARQL endpoint with the RDF extension, VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings",Plugin availability,Excel,Like Excel but with more data reconciliation options,,
1/28/2020 13:14:14,Librarian,A few times a month,More than 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,"VIAF, Library of Congress Subject Headings",Right tool for some tasks.,"MarcEdit, Libre Office Calc depending on the task.",Metadata clean-up tool.,,
1/28/2020 13:34:58,Cultural Heritage Data enthusiast,Less than once a month,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,DBpedia extension - by Zemanta,,"reconcile csv, Wikidata, VIAF, Library of Congress Subject Headings",Simple UI,"Excel, Python",Helps clean your messy data,could handle VERY LARGE data sets better,
1/28/2020 13:50:32,Librarian,Once or twice a week,6 to 12 months,2,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,I don't use plugin or extension,,"Wikidata, Getty Vocabularies","ability to reuse ""Operation History,"" ability to split/merge cells with multiple values, Wikidata reconciliation/upload batch edits to Wikidata",Google Sheets,"a tool to transform, clean, and enhance data in a spreadsheet","allowed an easier way to edit/tweak operation history (i.e. adjust an edit made multiple steps ago without losing subsequent steps), syncronization with Google Sheets to allow toggling back and forth between managing data in each",
1/28/2020 14:28:24,Librarian,A few times a month,More than 2 years,3,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, GeoRefine by Ryan Baumann","RDF, georefine, named-entity recognition, dbpedia","local SPARQL endpoint with the RDF extension, Wikidata, VIAF, Library of Congress Subject Headings",,,,were faster and able to process large datasets without crashing or freezing,
1/28/2020 14:43:36,Librarian,A few times a month,1 to 2 years,2,Understanding data you don't own,OpenRefine 3.2,I don't use plugin or extension,,,transforming data using GREL ; finding duplicate data ; exporting refined data,Excel,A tool to clean large files and explore what data is contained.,,
1/28/2020 14:48:33,Data journalist,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",OpenRefine 3.2,I don't use plugin or extension,,reconcile csv,"clustering, faceting",Maybe Python,"If you want to make your OWN data, this is it.",,
1/28/2020 15:19:11,Data journalist,A few times a month,1 to 2 years,3,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,"Wikidata, VIAF, SNAC",free; fast,unsure,reliable; fast; multipurpose; if you make a mistake you can easily return to previous version,Suggested tools or processes that would make my work more efficient. I don't know about already existing solutions,"1) i would like more tutorials about how to find the particular URL for each database that can be reconciled (eg VIAF), and for unavailable databases, an explanation as to why they can't be reconciled via OpenRefine. 2) i would also like tutorials about the extensions/plugins listed in this survey. 3) thank you for creating and maintaining OpenRefine. it is a fantastic, timesaving tool "
1/28/2020 15:47:38,Librarian,A few times a month,1 to 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.1,"DBpedia extension - by Zemanta, RDF extension - by DERI",,codeforkjeff conciliator,"Faceting, ability to handle large files",Excel,"Powerful tool for analyzing, manipulating, and transforming datasets",,
1/28/2020 15:52:25,Librarian,Less than once a month,More than 2 years,2,"Normalizing data (e.g., fixing spelling mistakes), Taxonomy/Metadata, Complex data analysis",OpenRefine 3.3RC1,"Client Libraries in (python, ruby, javascript, r or php)",,"VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings, additional vocabularies via Library of Congress http://id.loc.gov/ ",the ability to handle a very large data set,Excel and/or MARC data editor,for working with large data sets or what to use when you crash Excel,,
1/28/2020 15:54:13,Librarian,Once or twice a week,More than 2 years,4,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Getting data from APIs based on data in open refine",OpenRefine 3.1,"Client Libraries in (python, ruby, javascript, r or php)",,"VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings",I use Open Refine when I need to add to or reconcile tabular data that I already have. I use it only for editing or pulling data from APIs.,"Python, Pandas",A strong data remediation tool.,Had additional json and xml parsing support.,
1/28/2020 16:13:00,Researcher,Less than once a month,1 to 2 years,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes)",I don't know,I don't use plugin or extension,,,,,,Give Courses,
1/28/2020 16:14:12,Librarian,A few times a month,1 to 2 years,3,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,ability to reconcile against other databases,,,,
1/28/2020 16:38:09,Archivist,Less than once a month,,1,"Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set",OpenRefine 3.2,Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata),,VIAF,,,,,
1/28/2020 17:15:24,Librarian,Less than once a month,1 to 2 years,3,"Normalizing data (e.g., fixing spelling mistakes)",OpenRefine 2.9,I don't use plugin or extension,,"local SPARQL endpoint with the RDF extension, Wikidata",high level of control,"google sheet, excel, maybe airtable",spreadsheets on steriods,easier to install and run,nothing. thanks for a great product!
1/28/2020 19:37:00,Librarian,Less than once a month,1 to 2 years,1,"Normalizing data (e.g., fixing spelling mistakes), I use it to look for name inconsistencies and correct them in descriptive metadata. Lately used to cluster and correct all the names for a repository collection in preparation for a future project to disambiguate those names.",OpenRefine 3.2,I don't use plugin or extension,,,"I like the faceting and clustering features. It's easier to find name inconsistencies, as well as other errors in metadata fields, and to make corrections.","Excel, Google Drive.",Tool to clean up messy data and reconcile names and keywords with controlled vocabularies and identifiers.,,
1/29/2020 1:30:27,Researcher,Everyday,Less than 6 months,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,I don't use plugin or extension,,Wikidata,The basics are easy to use and understand for a it-dummie too. Plus it`s the tool provided for me at work.,,"It's like exel, but easier to undestand and has more functions.","..would give error messages what went wrong, for example when trying to make schema or trying to upload edits to wikidata.",
1/29/2020 3:35:55,Data Scientist,A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,,,"Wikidata, internal ReconService in our organization",ease of use for mass editing and facets for analysis and drill down.,"depends on the case, but probably Excel plus some custom scripts for checking",A really useful tool to improve the quality of and analyze your datasets.,"had multiuser support. Our institution would have one central installation on a server and all of the different scientists could easily use it, save their data and collaboratively work on datasets without having to install it or share project files back and forth",Why is the first question of this survey a single choice and not a multiple choice. I work with OR in different roles and thus as parts of different communities. Also for the next survey it would be great to see some of the bigger planned or suggested features and improvements and ask the users to say how much they want or need these features. 
1/29/2020 12:55:25,Librarian,A few times a month,More than 2 years,3,"Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.2,I don't use plugin or extension,,"VIAF, Library of Congress Subject Headings",Easy to use,,,,
1/29/2020 14:48:49,Researcher,Everyday,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,,"reconcile csv, local SPARQL endpoint with the RDF extension, Wikidata, VIAF","Size of datasets, clustering, faceting","google sheets, python code",your home,,
1/29/2020 18:08:07,Librarian,A few times a month,1 to 2 years,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI","RDF extension, Named-Entity Recognition, plugins for easier reconciliation to controlled vocabularies ","Wikidata, VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings, DBpedia",Reconciliation and various data clean up tools,Excel/Google Sheets,Excel on steroids,had more integrated reconciliation endpoints,
1/29/2020 21:07:59,Librarian,Less than once a month,I've heard about but never used it (yet),1,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",I don't know,I don't use plugin or extension,,,"free, not intimidating tutorials","Would not have started (R, stata, spss have steeper learning curves and excel is problematic) ",Haven't tried yet. But it makes cleaning data easy. ,idk yet,
1/30/2020 0:05:53,For Profit/Business/Consulting,Once or twice a week,I've heard about but never used it (yet),4,"Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,,local SPARQL endpoint with the RDF extension,,,,,
1/30/2020 2:15:16,Wikidata contributor,Once or twice a week,6 to 12 months,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.3RC1,,,"reconcile csv, Wikidata, OpenCorporates",Batch transfer to Wikidata,"QuickStatement, custom development with WD API",Great tool to do mass cleanup and transfer of substantial data banks,could « know » about relations between columns and projects.,
1/30/2020 11:11:59,Librarian,Everyday,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,"Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI",,"codeforkjeff conciliator, Wikidata, VIAF, FAST (Faceted Application of Subject Terminology)","Reconciliation, clustering/faceting, GREL",Nothing works like OpenRefine,,"Could enable addition of rows and have better functionality for working across columns, batch-renaming columns",
1/30/2020 14:23:35,Researcher,A few times a month,More than 2 years,2,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.3RC1,I don't use plugin or extension,,,"Data parsing, json, visual gui",Excel? I can no longer afford MS Access.,"Data cleaning, manipulation, ","Didn't have such a steep learning curve, but them's the breaks.",Thanks for keeping openrefine alive. 
1/30/2020 16:26:53,Data journalist,Less than once a month,More than 2 years,3,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.1,"Well shoot, I didn't know all of these existed! Mind blown. ",,,Text cleanup,My brain,An easy interface for cleaning up messy data or understanding what's in a new dataset,,
1/31/2020 2:03:34,Archivist,A few times a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.1,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata)",,"Wikidata, Library of Congress Subject Headings, Sharedshelf Built Work Registry Reconciliation Service, DBpedia",Complex data transformation via python,Python or excel,Excel but good,,
1/31/2020 7:57:21,Researcher,Less than once a month,More than 2 years,1,"Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",OpenRefine 2.6,I don't use plugin or extension,,,,,,,
1/31/2020 8:25:26,Open Government Data enthusiast,Less than once a month,1 to 2 years,2,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes)",OpenRefine 3.2,,,,,sql server,,,
1/31/2020 8:52:40,Researcher,Less than once a month,More than 2 years,4,"Data transformation (one format to another), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,RDF extension - by DERI,RDF generation / reconciliation to a SPARQL endpoint,"local SPARQL endpoint with the RDF extension, Wikidata, in-house reconciliation service",table data edit and reconciliation,script programs developed by myself,Reconciliation and RDFization,finds relevant reconciliation services,
1/31/2020 10:42:20,For Profit/Business/Consulting,A few times a month,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....)",OpenRefine 3.1,I don't use plugin or extension,Move from Jython to Python.,,Efficiency and reversibility at any step of treatment,"None for what Refine does best (reformat data, or format unformatted data)",Very good tool if you have to often reformat data,would be plugged into Python,Continue the tremendous work ! Thank you so much.
1/31/2020 12:58:47,Librarian,Once or twice a week,More than 2 years,5,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...), clustering to clean up multivalued cells",OpenRefine 3.2,I don't use plugin or extension,"python 3 (rather than 2). Do POST requests by default using fetch url function (instead of just GET with fetch url, currently have to write POSTs in python).",VIVO,"flexibility, speed of transformations, and diverse export options",python. libreoffice.,"an amazing ""power tool for working with messy data!""",stays awesome like it is! maybe install as standalone package (java install not required).,thank you thank you.
1/31/2020 13:17:16,For Profit/Business/Consulting,Less than once a month,More than 2 years,3,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Reconciliation against other data set, get data from third part APIs",OpenRefine 3.2,"DBpedia extension - by Zemanta, GeoRefine by Ryan Baumann, CSV reconcile","CSV reconcile. in other words, reconcile from external ""certificated"" databases","reconcile csv, DBpedia",Text cleaning in few time. Reconciling. Using external APIs to fill cells not being a programmer,Excel maybe:(,The Only Photonic Data Cleaner in the Dataverse,May link data from 2 or more tables.,Please integrate CSV reconcile pleeeeease pleeease pleeeeease ;)
1/31/2020 13:24:35,For Profit/Business/Consulting,A few times a month,1 to 2 years,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.1,"DBpedia extension - by Zemanta, GeoRefine by Ryan Baumann",CSV reconcile!!!,"reconcile csv, DBpedia",1.Text reconcile and cleaning. 2. Using Columns to get data from external APIs for huge databases,Handy edit Cell by Cell in spreadsheet,It cleans data. Tight now.,May speak italian. using gestures too,
1/31/2020 15:21:11,Metadata Manager for Digital Collections,A few times a month,More than 2 years,2,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Metadata evaluation and remediation",OpenRefine 3.3RC1,Once there's more tech support at my institution I would like to capitalize on these plugins,,"local SPARQL endpoint with the RDF extension, Wikidata, VIAF, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings","Cluster! So helpful to view like data. I also find that it's not too challenging to learn basic GREL for transformations, and it's a great feature that executed GREL commands are saved and can be easily reused across projects.",excel,the best tool for metadata management,didn't always require the most recent version of java,"I'm wondering what the plan is now that Java will not be free at the end of the year. My institution (and I'm sure MANY others) do not have the funds to pay for Java, and we will be using OpenJDK instead. Is this a known issue and is there a solution in the works??? I'm already having panic attacks about not being able to use this tool, especially with a looming migration that will require extensive metadata evaluation and remediation."
2/1/2020 9:17:07,Wikidata contributor,A few times a month,6 to 12 months,2,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set",OpenRefine 3.2,I don't use plugin or extension,,Wikidata,I don't know any other tools,Excel,it's a complicated software but I can show you a few simple things it can do,was easier to use,I expect the majority of your users to be computer specialists. please consider normal people too
2/2/2020 7:27:57,Researcher,A few times a month,1 to 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"DBpedia extension - by Zemanta, History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, Stats extension updated by sparkica for Refine 2.5 +, GeoRefine by Ryan Baumann, String-Transformers by RBGKew",Semantics,"reconcile csv, Wikidata, DBpedia","Browser-based, features",Python,"Data cleansing, preparation",...will be further developed.,Thanks!
2/3/2020 11:22:14,"Instructor, Librarian, Open Government Data enthusiast, Semantic Web Practictioner ",A few times a month,More than 2 years,4,"Data transformation (one format to another), Understanding data you don't own, Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata",OpenRefine 3.2,"DBpedia extension - by Zemanta, Named-Entity Recognition - by Ruben Verborgh (Free Your Metadata), RDF extension - by DERI, MARCEdit plugin ","I sometimes have a hard time getting it to run with Windows 10. Also, I wish there was a dashboard plugin. ","local SPARQL endpoint with the RDF extension, Wikidata, FAST (Faceted Application of Subject Terminology), Library of Congress Subject Headings","I really like being able to take a metadata record and break it up into a spreadsheet format. Also, I recommend Refine for a variety of data analysis tools. It is my go-to tool. ","Hmm. Excel, Google sheets, Access/MySql, but OpenRefine is really superior for quick and dirty data work. ",Excel but better ,"had the ability to build dashboards. (if it does, I don't know how to do that)","Thank you so much for an awesome tool. I both use OpenRefine and teach OpenRefine to information and library professionals. I would like to be more proficient at RegEx, but I will get there. Maybe some building / wizard tools? :-)"
2/3/2020 11:38:01,For Profit/Business/Consulting,Once or twice a week,6 to 12 months,4,"Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"Crowdsourcing extension - by Zemanta, History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS","Dear Lord, maybe make some easy way of adding these extensions into Open Refine, before using ",,1) The replayability of recipes 2) Ability to use a real programming language on a csv dataset,Excel - VB script is not as good and certainly much slower,Excel on Crack,"You can move steps in the recipe higher and lower, than replay the entire recipe from the start. Perhaps an automation service that can pick up files from a source, run the recipe and place them in a location.",
2/3/2020 11:45:47,Cultural Heritage Data enthusiast,Once or twice a week,More than 2 years,4,"Data transformation (one format to another), Normalizing data (e.g., fixing spelling mistakes), Preparing data to load into other system (database, cloud application, CRM, wikidata ....), Reconciliation against other data set, Taxonomy/Metadata, Preparing a dataset before visualization in an other application (R, D3, Tableau, Fusion Table ...)",OpenRefine 3.2,"History tools, cross cell tools, pivot tool and scatterplot tool using D3 - by VIB-BITS, Diff plugin- by VIB-BITS, RDF extension - by DERI","Add Column from Other Projects (VB-BITS), Ability to save facets I've created.","Wikidata, VIAF","I'm not a super great programmer, but OpenRefine gives me powerful functions to help transform data without having to write code. ","Mostly when I do code, I work in Python. Or Excel",metadata sawzall. ,continues to exist and grow in functionality.,I often recommend OR when people are working with cultural heritage data.
