Timestamp,"Field, discipline, community you identify with 
Choose the categories which best represent you",On a scale from 1 to 10 how often do you use OpenRefine in a professional environment?,In which languages do you use OpenRefine (both its interface and the datasets you work with)?,How long have you been using OpenRefine?,How would you rate your skills using OpenRefine,How likely is it that you would recommend OpenRefine to a friend or colleague?,usage_frequency,"How frequently do you perform the following actions in OpenRefine? [Using facets for data exploration, analyzing, and making better sense of datasets]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation from the menu only]","How frequently do you perform the following actions in OpenRefine? [Normalization, cleaning, and transformation using GREL]",How frequently do you perform the following actions in OpenRefine? [Reconcile using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Extend data using reconciliation services],How frequently do you perform the following actions in OpenRefine? [Using REST APIs (ie Fetch URLs)],How frequently do you perform the following actions in OpenRefine? [Saving operation history to create repeatable workflows],How frequently do you perform the following actions in OpenRefine? [Preparing data for visualization (outside OpenRefine)],How frequently do you perform the following actions in OpenRefine? [Preparing a file before loading it to another system (data migration)],"How frequently do you perform the following actions in OpenRefine? [Publishing data directly from OpenRefine to Wikibase, Wikidata, or WikiCommons]","How frequently do you perform the following actions in OpenRefine? [Working on taxonomies, thesauri, vocabularies]",Which features make you choose OpenRefine over other tools? Which alternative tools would you use if OpenRefine was not available to you?,Which version(s) of OpenRefine do you run? Mark all that apply.,Who installed OpenRefine on your computer?,Which Operating System are you using?,Which browsers do you use with OpenRefine?,What is the current amount of RAM you have allocated to OpenRefine? (see increasing memory allocation). Use the Other option to indicate the how much RAM you have allocated to OpenRefine,Which reconciliation services do you use?,Which OpenRefine extensions do you use?,Which OpenRefine unsupported client libraries do you use?,Anything else you would like to add?
8/14/2024 8:33:59,Data science|For-profit sector / Business / Consulting,10,"English, Portuguese",6 to 12 months,5,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per day,Once per month,Once per month,Once per month,Once per month,Once per month,,The latest version of OpenRefine 3.8,Myself,Windows,Edge,Default Setting,I don’t know,I don’t use any OpenRefine extensions,,
8/14/2024 11:16:24,Arts cultural sector cultural heritage,8,German,More than 5 years,4,10,1. Once per day,Once per day,Rarely,Once per day,Once per month,Once per month,Once per month,Rarely,Rarely,Once per day,Never,Once per week,"Operation History and UnDo, (custom) Text Facets, Recon-Service, GREL and GUI; if OR would not be available some weird combination of Excel and Pandas",", The latest version of OpenRefine 3.8",Myself,Windows,Firefox,Default Setting,reconcile-csv (Clojure-based by Open Knowledge Labs)|Getty Vocabularies (TGN ULAN AAT)|lobid Integrated Authority File (GND)|Wikidata (hosted at wikidata.reconci.link)|Geonames,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"-"
8/14/2024 11:44:00,Libraries|Research and Academic|Education / training,10,"English, Spanish, French, Russian, German, Czech, Italian, Ukrainian, Polish, Belarusian, Romanian, Moldovan, Croatian, Serbian, Slovenian",1 to 2 years,2,9,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Rarely,Once per month,Never,Once per month,Never,Once per month,,The latest version of OpenRefine 3.8,Myself,Windows,Edge,2048 M,VIAF (via refine.codefork.com),I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/14/2024 12:45:56,Data science|For-profit sector / Business / Consulting,10,English,2 to 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Never,Never,Never,Rarely,Rarely,Once per month,Never,Never,Don't know,The latest version of OpenRefine 3.8,Myself,Mac,Chrome,2048 M,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/14/2024 14:44:14,Research and Academic,10,"English, Bangla",1 to 2 years,5,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,,", The latest version of OpenRefine 3.8",Myself,Linux,Firefox,Default Setting,ORCID|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",Python OpenRefine client,
8/15/2024 4:56:15,Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,2,"English, French",6 to 12 months,3,8,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Never,Never,Rarely,Once per month,Once per month,Never,"Would use Excel or PostgreSQL, but OpenRefine is very straightforward for data cleaning and many common transformations are available out of the box",The latest version of OpenRefine 3.8,Myself,Windows,Edge|Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/15/2024 9:54:20,Libraries|Research and Academic,10,"English, German",1 to 2 years,3,8,1. Once per day,Once per day,Once per day,Once per week,Never,Once per week,Once per day,Once per week,Never,Once per week,Never,Never,,The latest version of OpenRefine 3.8,I mainly run OpenRefine via (cloud) hosting (e.g. Wikimedia PAWS or another cloud- or server-based host),Windows,Firefox,I don’t know,I don’t know,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/15/2024 11:46:49,Libraries|Education / training,0,English,I have never used OpenRefine,1,1,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,I don't know,I don’t know,Windows,I don’t know,I don’t know,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/15/2024 12:11:51,Libraries|Arts cultural sector cultural heritage|Digital humanities|Wikibase,10,English,1 to 2 years,1,10,4. Rarely,Rarely,Rarely,Never,Once per month,Never,Never,Never,Never,Once per month,Once per month,Rarely,OpenRefine makes a lot of cleanup and standardization tasks much easier. If it wasn't available I would cry at my desk. :) Probably stick to a spreadsheet!,", The latest version of OpenRefine 3.8",IT staff,Mac,Firefox,I don’t know,I don’t know|My organization’s / project’s own / in-house / custom reconciliation service|Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,Wikidata extension,I did not know that there are client libraries for OpenRefine,
8/15/2024 13:35:03,Research and Academic,2,English,1 to 2 years,1,8,5. Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Once per month,Never,,", OpenRefine 3.7",Myself,Windows,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link),"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions",I did not know that there are client libraries for OpenRefine,
8/15/2024 13:44:43,Research and Academic|Digital humanities,10,"English, German, Tibetan",1 to 2 years,2,8,3. Once per month,Once per month,Once per month,Once per month,Rarely,Never,Never,Never,Once per month,Rarely,Never,Never,,,Myself,Mac,Arc,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/15/2024 13:47:48,Libraries|Research and Academic,10,English,6 to 12 months,3,9,3. Once per month,Once per month,Once per month,Rarely,Never,Never,Once per month,Once per month,Never,Never,Never,Never,facets. for others functions i might use power query,The latest version of OpenRefine 3.8,Myself,Windows,Firefox|Waterfox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/15/2024 13:59:26,Research and Academic|Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,2,English,1 to 2 years,3,9,4. Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,"Cleaning data, none",I don't know,Myself,Linux,Edge|Firefox,I don’t know,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,"I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries","It would be nice to add Wikibase cloud reconciliation, or connect it with Zotero, that citations can move back and forward."
8/15/2024 15:34:52,Libraries|Digital humanities,9,English,2 to 5 years,2,9,3. Once per month,Once per month,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Never,"Ease of use, compatibility with multiple file formats,faceting.",I don't know,Myself,Windows,Opera|Vivaldi,4000 M,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/15/2024 15:37:19,Libraries|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,8,English,2 to 5 years,2,10,4. Rarely,Rarely,Rarely,Rarely,Once per week,Once per week,Never,Never,Never,Once per week,Rarely,Rarely,Especially its ability to reconcile data with Wikidata,OpenRefine 3.6,IT staff,Linux,Chrome|Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I don’t use any OpenRefine client libraries,
8/15/2024 16:14:19,Libraries|Arts cultural sector cultural heritage|Digital humanities,10,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,,,Myself,Mac,Firefox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/15/2024 16:55:46,Research and Academic|Arts cultural sector cultural heritage|Digital humanities,6,"English, Irish, Welsh",Less than 6 months,2,5,1. Once per day,Once per day,Once per week,Once per week,Once per day,Once per month,Once per month,Never,Never,Once per week,Never,Once per month,"Preparing data in bulk (incl. using facets and reconciliation) as opposed to editing directly in a web form, which would create too much overhead",The latest version of OpenRefine 3.8,Myself,Mac,Chrome|Firefox,I don’t know,Biblissima|Wikidata (hosted at wikidata.reconci.link)|version of nfdi4culture Wikibase-OpenRefine made available by Judaica DH,,I did not know that there are client libraries for OpenRefine,"Improved integration with Wikibase would be important to me because right now I have to make do with some workarounds that can be time-consuming"
8/15/2024 17:04:47,Libraries|Semantic Web|Wikibase,7,English,More than 5 years,4,10,4. Rarely,Rarely,Rarely,Once per month,Once per month,Once per month,Rarely,Once per month,Once per month,Once per month,Rarely,Rarely,"At this point, I've been using OR for a decade and I don't really know what else I'd use. I've built my skills over time. I really like the reconciliation functions, the GREL functions, the ability to write my own wacky export syntaxes which I think turn into other things (when a spreadsheet or JSON isn't the best fit for the next phase of my data).",", The latest version of OpenRefine 3.8",Myself,Windows,Firefox,Default Setting,csv-reconcile (Python-based by Douglas Mennella)|reconciliation against a SPARQL endpoint via the RDF extension|Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH)|ORCID|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,Python OpenRefine client,"This tool has made my work possible over the last 10 years. Thank you!"
8/15/2024 18:12:18,Libraries|Research and Academic,7,English,2 to 5 years,1,8,4. Rarely,Rarely,Once per month,Once per month,Never,Never,Never,Never,Never,Never,Never,Never,,,Myself,Mac,Chrome,I don’t know,I don’t know,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/15/2024 22:45:01,Wikimedia (Wikidata Wikimedia Commons…),0,"English, French",2 to 5 years,3,6,3. Once per month,Once per month,Once per week,Once per week,Once per week,Once per month,Rarely,Rarely,Rarely,Rarely,Once per week,Never,basic uploading to wkkidata is still complicated to me even if I've tried to use it multiple times in last years. Mainly user connexion errors.  Merge with existing claims on wikidata is also complicated.,,Myself,Linux,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,Python OpenRefine client,"Thanks for your work as volunteers!"
8/16/2024 2:10:54,Research and Academic|Data science,9,English,More than 5 years,4,9,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per month,Rarely,Once per week,Once per day,Once per day,Never,Rarely,Custom Python scripts,,Myself,Mac,Chrome,72000 M,OpenCorporates,"GeoJSON Export - by Labian Gashi, RDF extension - by DRI and Stuart Kenny, GeoRefine by Ryan Baumann",Python OpenRefine client,
8/16/2024 3:25:48,Wikimedia (Wikidata Wikimedia Commons…),0,Catalan,1 to 2 years,3,9,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Rarely,Once per month,Once per month,Once per month,Once per month,Once per month,,,Myself,Mac,Vivaldi,8000 M,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/16/2024 4:23:08,Data science,6,English,Less than 6 months,3,8,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,,The latest version of OpenRefine 3.8,Myself,Windows,Edge,10000 M,I don’t know,I did not know that there are extensions for OpenRefine,,"parquet"
8/16/2024 6:52:19,Wikimedia (Wikidata Wikimedia Commons…),0,"English, French, Dutch",1 to 2 years,3,3,2. Once per week,Once per week,Once per month,Rarely,Once per day,Once per week,Never,Once per month,Rarely,Once per day,Once per month,Never,,,Myself,Windows,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions",I don’t use any OpenRefine client libraries,
8/16/2024 8:23:42,Research and Academic|Arts cultural sector cultural heritage|Digital humanities,5,"English, French, German",2 to 5 years,4,10,1. Once per day,Once per day,Once per week,Once per week,Once per month,Once per month,Rarely,Never,Once per month,Once per week,Rarely,Once per month,,,Myself,Mac,Firefox,2048 M,reconcile-csv (Clojure-based by Open Knowledge Labs)|DBpedia|Getty Vocabularies (TGN ULAN AAT)|Open Library (via refine.codefork.com)|ORCID|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link)|Datasette Reconcile,Wikidata extension,I don’t use any OpenRefine client libraries,
8/16/2024 8:37:48,Research and Academic|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase|biodiversity informatics,4,English,1 to 2 years,3,9,3. Once per month,Once per month,Once per month,Once per month,Once per week,Once per month,Once per month,Rarely,Rarely,Never,Once per week,Once per week,"Operation history, Wikidata integration, easy installation. For data cleaning, I often use Visidata because the keybinding interface is faster and more powerful, but I have not found any good alternatives for data reconciliation.",OpenRefine 3.7,Myself,Mac,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,"Thank you for the outreach to the user community. I look forward to seeing how the project continues to develop and have a wider impact."
8/16/2024 11:42:12,Wikimedia (Wikidata Wikimedia Commons…)|Wikibase,0,"English, Vietnamese",Less than 6 months,1,1,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Reconciling and QuickStatements + Excel in one,,Myself,Windows,Chrome|Firefox,Default Setting,I do not use any reconciliation service(s) inside OpenRefine|My organization’s / project’s own / in-house / custom reconciliation service|I do not use any reconciliation service(s) inside OpenRefine,Wikidata extension,I did not know that there are client libraries for OpenRefine,"Just need to get my reconcile service running fine on my machine..."
8/16/2024 14:38:29,Wikimedia (Wikidata Wikimedia Commons…),0,"English, German",Less than 6 months,2,10,4. Rarely,Rarely,Rarely,Once per month,Once per week,Once per week,Once per month,Once per week,Never,Never,Once per week,Never,Automated item creation as an alternative to manual item creation on Wikidata and manual photo upload to Commons,", The latest version of OpenRefine 3.8",Myself,Mac,Firefox|Safari,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",I did not know that there are client libraries for OpenRefine,
8/16/2024 21:51:47,Data journalism|Data science|Semantic Web,7,"Spanish,",I have never used OpenRefine,1,9,2. Once per week,Once per week,Once per month,Once per month,Rarely,Never,Once per day,Once per day,Once per day,Once per day,Once per day,Once per week,,,I maintain a hosted version of OpenRefine,Linux,Firefox,I don’t know,My organization’s / project’s own / in-house / custom reconciliation service|csv-reconcile (Python-based by Douglas Mennella),I did not know that there are extensions for OpenRefine,"Python OpenRefine client, Java OpenRefine client",
8/17/2024 4:12:52,Data science,10,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Never,Never,Never,Never,Once per month,Once per month,Never,Never,"Ease of use, familiarity, free software",,Myself,Windows,Firefox,I don’t know,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I don’t use any OpenRefine client libraries,
8/17/2024 13:37:43,Wikimedia (Wikidata Wikimedia Commons…)|Other non-profit sector,3,"English, German",2 to 5 years,4,10,3. Once per month,Once per month,Once per week,Once per week,Once per day,Rarely,Never,Rarely,Never,Never,Once per week,Never,"Easy Export to Quickstatements, otherwise R",The latest version of OpenRefine 3.8,Myself,Mac,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/18/2024 2:58:59,Data journalism,10,English,More than 5 years,4,10,2. Once per week,Once per week,Once per week,Never,Never,Never,Never,Never,Once per week,Once per week,Never,Never,,,Myself,Mac,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/18/2024 5:36:44,Data science|Wikimedia (Wikidata Wikimedia Commons…),5,English,More than 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,Rarely,"Ability to do ""spreadsheet'ish"" work with type safety, and removing the possibility of ever messing up which values belongs to which rows",,Myself,Mac,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I did not know that there are client libraries for OpenRefine,
8/18/2024 7:02:13,Libraries|Research and Academic|Digital humanities|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Other non-profit sector|Open-source intelligence (OSINT),5,"English, Swedish",2 to 5 years,3,10,3. Once per month,Once per month,Once per week,Once per month,Once per day,Once per day,Once per month,Once per month,Once per month,Once per week,Once per day,Once per month,,,Myself,Mac,Chrome|Edge|Safari,Default Setting,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/18/2024 11:14:03,Data science,9,"English, French",6 to 12 months,3,9,2. Once per week,Once per week,Once per week,Once per week,Never,Never,Rarely,Once per week,Once per week,Once per week,Never,Once per week,,The latest version of OpenRefine 3.8,I maintain a hosted version of OpenRefine,Linux,Chrome,Default Setting,I do not use any reconciliation service(s) inside OpenRefine,I did not know that there are extensions for OpenRefine,I don’t use any OpenRefine client libraries,"Thank you for developping, maintaining and sharing this great product."
8/18/2024 11:34:54,Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap,0,"English, German",Less than 6 months,2,10,4. Rarely,Rarely,Once per month,Never,Once per month,Once per month,Never,Once per month,Never,Rarely,Once per month,Never,QuickStatements,", The latest version of OpenRefine 3.8",Myself,Linux,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/18/2024 11:52:57,Research and Academic|Data science|Education / training,5,"English, Bangla",2 to 5 years,3,10,3. Once per month,Once per month,Once per month,Once per month,Once per month,Once per month,Never,Once per month,Once per month,Once per month,Rarely,Rarely,"Python, R",", I run a recent (unstable) development version or the latest snapshot release (3.8+)",Myself,Windows,Firefox,Default Setting,,,,
8/18/2024 14:16:01,Other non-profit sector,0,"English, German",1 to 2 years,1,2,5. Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,QuickStatements,I don't know,I mainly run OpenRefine via (cloud) hosting (e.g. Wikimedia PAWS or another cloud- or server-based host),Linux,Firefox,I don’t know,I do not use any reconciliation service(s) inside OpenRefine|I don’t know,"I did not know that there are extensions for OpenRefine, I don’t use any OpenRefine extensions","I did not know that there are client libraries for OpenRefine, I don’t use any OpenRefine client libraries",
8/18/2024 22:25:30,Arts cultural sector cultural heritage,10,English,More than 5 years,5,10,2. Once per week,Once per week,Once per week,Once per week,Rarely,Rarely,Once per month,Once per week,Rarely,Once per day,Never,Once per week,"It's the easiest way by far to do the work I need to do. Without it I would work in a combination of vim, awk and other bash utilities",,Myself,Linux,Edge,2400 M,I do not use any reconciliation service(s) inside OpenRefine,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/19/2024 3:54:45,Research and Academic|Data science|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Wikibase|Other non-profit sector,5,English,More than 5 years,5,8,2. Once per week,Once per week,Once per month,Once per week,Rarely,Rarely,Rarely,Once per week,Once per month,Once per month,Rarely,Rarely,"Easy of use, fexiblity. Alternatives would be Excel probably with self written scripts in python or java for more powerful opperations",", The latest version of OpenRefine 3.8",Myself,Windows,Firefox,1400 M,GBIF|ORCID|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I don’t use any OpenRefine client libraries,
8/19/2024 11:41:11,Research and Academic|Arts cultural sector cultural heritage|Digital humanities,10,English,1 to 2 years,3,10,5. Never,Never,Rarely,Never,Once per week,Once per week,Rarely,Rarely,Once per week,Once per week,Never,Once per week,reconciliation and extension!!,,Myself,Mac,Chrome,Default Setting,My organization’s / project’s own / in-house / custom reconciliation service|csv-reconcile (Python-based by Douglas Mennella)|Getty Vocabularies (TGN ULAN AAT)|Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/19/2024 13:09:24,Data Analytics,8,English,2 to 5 years,3,10,1. Once per day,Once per day,Once per day,Once per day,Rarely,Rarely,Rarely,Once per day,Once per day,Once per day,Rarely,Once per day,"Faceting, GREL. Excel and Google Sheets.",The latest version of OpenRefine 3.8,Myself,Windows,Chrome,16000 M,,"OpenRefine Command Palette by Albin Larsson, VIB-Bits, GOKb Utilities by GOKb & Owen Stephens",,
8/19/2024 13:15:49,Libraries|Wikimedia (Wikidata Wikimedia Commons…)|Education / training,8,English,2 to 5 years,2,5,5. Never,Never,Rarely,Never,Once per month,Rarely,Never,Never,Never,Never,Once per month,Never,"Wikidata reconciliation, SDC and Commons upload. Otherwise use Pattypan.",,Myself,Mac,Firefox,Default Setting,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,"Wikidata extension, Wikimedia Commons",I did not know that there are client libraries for OpenRefine,
8/20/2024 7:05:35,Data journalism,8,English,More than 5 years,5,10,1. Once per day,Once per day,Once per day,Once per month,Once per week,Once per month,Never,Once per month,Once per week,Once per week,Never,Never,The range and ease of Faceting. Not sure any equivalent exists for data cleaning or reconciliation,,Myself,Windows,Chrome,5000 M,OpenCorporates|aleph.occrp.org,I don’t use any OpenRefine extensions,I did not know that there are client libraries for OpenRefine,
8/20/2024 7:14:20,Data science|Open-source intelligence (OSINT)|law enforcement,10,"English, French",More than 5 years,5,9,2. Once per week,Once per week,Once per week,Once per week,Once per month,Rarely,Rarely,Once per month,Once per month,Once per month,Never,Never,filtering and manipulating data easily,,I maintain a hosted version of OpenRefine,Windows,Edge|Firefox,4096 M,I don’t know,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,
8/20/2024 9:46:14,Research and Academic|Data science,10,"English, French",More than 5 years,5,10,2. Once per week,Once per week,Once per week,Once per week,Once per month,Once per week,Rarely,Once per week,Rarely,Once per week,Never,Once per month,SQL export !,,Myself,Windows,Firefox,Default Setting,Biblissima|DBpedia|GBIF|Open Library (via refine.codefork.com)|ORCID|Wikidata (hosted at wikidata.reconci.link),VIB-Bits,I don’t use any OpenRefine client libraries,
8/20/2024 10:42:17,Research and Academic|Data science|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|Wikibase|Education / training|Linguistics,7,"English, Spanish, Quechua",1 to 2 years,3,9,4. Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Its extensions and capabilities to work with various kinds of data.,,Myself,Linux,Chrome,Default Setting,Wikidata (hosted at wikidata.reconci.link),"Wikidata extension, Wikimedia Commons",I don’t use any OpenRefine client libraries,
8/20/2024 16:07:41,Data science|Semantic Web|FAIR and open data,5,English,More than 5 years,5,10,1. Once per day,Once per day,Once per day,Once per day,Once per week,Once per week,Once per month,Never,Once per month,Once per month,Rarely,Never,,I run a recent (unstable) development version or the latest snapshot release (3.8+),Myself,Mac,Chrome,8000 M,Faceted Application of Subject Terminology (FAST)|GBIF|Getty Vocabularies (TGN ULAN AAT)|Library of Congress Subject Headings (LCSH)|Open Library (via refine.codefork.com)|OpenCorporates|VIAF (via refine.codefork.com)|Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I avoid them because they're unreliable and use an unsupported internal interface,
8/20/2024 17:18:50,Libraries|Research and Academic|Semantic Web|Education / training,9,English,More than 5 years,4,10,4. Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Never,Rarely,"it hits a happy medium between UI-accessible features and expert features for people with programming skills. If I didn't have OpenRefine, I would probably end up doing something in Python/Pandas, but I wouldn't be able to do things like Clustering on my own.","The latest version of OpenRefine 3.8, OpenRefine 3.7, OpenRefine 3.6",Myself,Mac,Firefox,I don’t know,I do not use any reconciliation service(s) inside OpenRefine|My only usage of reconciliation is in the context of Library Carpentry instruction,I don’t use any OpenRefine extensions,I don’t use any OpenRefine client libraries,"I apparently don't use OpenRefine as often as this survey expected. The only reason why I answered ""rarely"" is because I use it as needed, which doesn't happen on even a monthly basis. Just about all the features I indicated I use are ones I use every time I use OpenRefine, though. Something to consider for future survey design, perhaps."
8/20/2024 23:18:55,For-profit sector / Business / Consulting,10,"English, Spanish",1 to 2 years,3,10,3. Once per month,Once per month,Once per week,Once per week,Rarely,Rarely,Never,Rarely,Once per week,Once per week,Never,Never,Being free and friendly,,Myself,Mac,Safari,Default Setting,Wikidata (hosted at wikidata.reconci.link),I did not know that there are extensions for OpenRefine,I did not know that there are client libraries for OpenRefine,
8/21/2024 2:48:40,Arts cultural sector cultural heritage|Semantic Web|Wikimedia (Wikidata Wikimedia Commons…)|OpenStreetMap|Wikibase,8,"English, Chinese, Spanish, Arabic, French, Japanese, Dutch, Czech, Italian,",More than 5 years,5,9,1. Once per day,Once per day,Once per day,Once per day,Once per day,Once per day,Once per month,Never,Rarely,Rarely,Once per day,Once per month,Reconciliation (I am exploring all the different ways in which to make searches that can be used in a custom reconciliation tool). Data import to Wikibase (alternetive QuickStatements) In OR the workflow is neatly within one tool.,,Myself,Mac,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link),Wikidata extension,I did not know that there are client libraries for OpenRefine,
8/21/2024 3:52:08,Research and Academic|Arts cultural sector cultural heritage|Wikimedia (Wikidata Wikimedia Commons…)|Archive,10,English,More than 5 years,3,10,2. Once per week,Once per week,Once per week,Once per week,Once per week,Once per week,Rarely,Never,Never,Once per month,Once per week,Once per week,I only know of OpenRefine to work directly towards the Wiki-platforms.,The latest version of OpenRefine 3.8,Myself,Windows,Chrome,I don’t know,Wikidata (hosted at wikidata.reconci.link)|Wikimedia Commons,Wikimedia Commons,I did not know that there are client libraries for OpenRefine,
8/21/2024 15:50:04,Libraries|Research and Academic,8,"English, Portuguese",More than 5 years,3,9,3. Once per month,Once per month,Once per month,Once per month,Rarely,Never,Rarely,Rarely,Rarely,Once per month,Never,Never,It is powerful and simple to use. If I couldn't use OpenRefine I'd be stuck with Excel and LibreOffice Calc,,Myself,Linux,Chrome|Edge|Firefox,2048 M,I do not use any reconciliation service(s) inside OpenRefine,VIB-Bits,I did not know that there are client libraries for OpenRefine,
